timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721395419598,2,/hospital/hms/vendor/selectFx/selectFx.js-76,304,Not Modified,,,true,,237,496,0,0,http://10.0.0.5/hospital/hms/vendor/selectFx/selectFx.js,0,0,1
1721395419603,1,/hospital/hms/vendor/select2/select2.min.js-77,304,Not Modified,,,true,,237,498,0,0,http://10.0.0.5/hospital/hms/vendor/select2/select2.min.js,0,0,0
0,0,beacons.gvt2.com:443,,"An established connection was aborted by the software in your host machine
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1775,0,0,0,null,0,0,0
1721395419598,14,/hospital/hms/vendor/autosize/autosize.min.js-74,304,Not Modified,,,true,,236,499,0,0,http://10.0.0.5/hospital/hms/vendor/autosize/autosize.min.js,0,0,1
1721395419614,2,/hospital/hms/vendor/bootstrap-datepicker/bootstrap-datepicker.min.js-78,304,Not Modified,,,true,,237,524,0,0,http://10.0.0.5/hospital/hms/vendor/bootstrap-datepicker/bootstrap-datepicker.min.js,0,0,1
1721395419614,3,/hospital/hms/vendor/bootstrap-timepicker/bootstrap-timepicker.min.js-79,304,Not Modified,,,true,,237,524,0,0,http://10.0.0.5/hospital/hms/vendor/bootstrap-timepicker/bootstrap-timepicker.min.js,0,0,2
1721395419622,2,/hospital/hms/assets/js/form-elements.js-80,304,Not Modified,,,true,,236,494,0,0,http://10.0.0.5/hospital/hms/assets/js/form-elements.js,0,0,1
1721395419674,4,/hospital/hms/vendor/themify-icons/fonts/themify.woff-81,304,Not Modified,,,true,,237,570,0,0,http://10.0.0.5/hospital/hms/vendor/themify-icons/fonts/themify.woff?-fvbane,0,0,1
0,0,beacons2.gvt2.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
0,0,beacons2.gvt2.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
